,Hotel_Name,Hotel_Address,Country,City
13182,H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France,France,Paris
13290,Hotel Scribe Paris Opera by Sofitel,1 Rue Scribe 9th arr 75009 Paris France,France,Paris
13425,Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,United Kingdom,London
14708,Haymarket Hotel,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,United Kingdom,London
14829,Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,United Kingdom,London
17380,H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,France,Paris
17549,Hotel L Antoine,10 12 rue de Charonne 11th arr 75011 Paris France,France,Paris
17720,Belfast,10 avenue Carnot 17th arr 75017 Paris France,France,Paris
17806,Shangri La Hotel Paris,10 Avenue D I na 16th arr 75016 Paris France,France,Paris
17852,Mercure Paris Tour Eiffel Pont Mirabeau,10 Avenue Emile Zola 15th arr 75015 Paris France,France,Paris
17922,Knightsbridge Hotel,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,United Kingdom,London
18095,The London EDITION,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,United Kingdom,London
18236,The Cranley Hotel,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,United Kingdom,London
18396,Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France,France,Paris
18445,The Nadler Soho,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,United Kingdom,London
18936,Grange St Paul s Hotel,10 Godliman Street City of London London EC4V 5AJ United Kingdom,United Kingdom,London
20090,The Ampersand Hotel,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,United Kingdom,London
20472,Covent Garden Hotel,10 Monmouth Street Camden London WC2H 9HB United Kingdom,United Kingdom,London
20546,The Nadler Victoria,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,United Kingdom,London
21147,Novotel London Tower Bridge,10 Pepys Street City of London London EC3N 2NR United Kingdom,United Kingdom,London
21536,Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France,France,Paris
21748,Le Metropolitan a Tribute Portfolio Hotel,10 Place De Mexico 16th arr 75016 Paris France,France,Paris
21814,Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France,France,Paris
21843,H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France,France,Paris
21919,Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,France,Paris
22010,Hotel Tour d Auvergne Opera,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,France,Paris
22035,Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France,France,Paris
22155,Windsor Opera,10 Rue Gabriel Laumain 10th arr 75010 Paris France,France,Paris
22189,Holiday Inn Paris Montparnasse Pasteur,10 rue Gager Gabillot 15th arr 75015 Paris France,France,Paris
22226,H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France,France,Paris
22321,Les Plumes Hotel,10 rue Lamartine 9th arr 75009 Paris France,France,Paris
22434,Hotel des Tuileries Relais du Silence,10 rue Saint Hyacinthe 1st arr 75001 Paris France,France,Paris
22525,Bradford Elys es Astotel,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,France,Paris
22607,W London Leicester Square,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,United Kingdom,London
22874,The Victoria,10 West Temple Sheen London SW14 7RT United Kingdom,United Kingdom,London
23036,Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom,United Kingdom,London
24278,Crowne Plaza London Kensington,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,United Kingdom,London
24583,Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,United Kingdom,London
25592,Ace Hotel London Shoreditch,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,United Kingdom,London
26106,Staybridge Suites London Vauxhall,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,United Kingdom,London
26350,The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,United Kingdom,London
27867,The Park Tower Knightsbridge a Luxury Collection Hotel,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,United Kingdom,London
28142,Amp re,102 Avenue de Villiers 17th arr 75017 Paris France,France,Paris
28314,Melia Paris Champs Elys es,102 Avenue Victor Hugo 16th arr 75016 Paris France,France,Paris
28329,Le Parisis Paris Tour Eiffel,102 Bd De Grenelle 15th arr 75015 Paris France,France,Paris
28757,Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,United Kingdom,London
29619,Park Plaza Sherlock Holmes London,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,United Kingdom,London
30211,Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,France,Paris
30320,The Kensington Hotel,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,United Kingdom,London
30653,Holiday Inn London Stratford City,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,United Kingdom,London
31647,Staybridge Suites London Stratford,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,United Kingdom,London
32137,Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,United Kingdom,London
32668,My Bloomsbury,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,United Kingdom,London
33131,Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France,France,Paris
33526,H tel Chaplain Paris Rive Gauche,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,France,Paris
33659,H tel Regina Op ra Grands Boulevards,11 Bis rue Mazagran 10th arr 75010 Paris France,France,Paris
33703,11 Cadogan Gardens,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,United Kingdom,London
33862,The Wellesley Knightsbridge a Luxury Collection Hotel London,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,United Kingdom,London
33939,Hotel Astor Saint Honor ,11 Rue d Astorg 8th arr 75008 Paris France,France,Paris
33963,Op ra Marigny,11 Rue de l Arcade 8th arr 75008 Paris France,France,Paris
34078,H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France,France,Paris
34311,Le Marcel,11 rue du 8 Mai 1945 10th arr 75010 Paris France,France,Paris
34383,H tel Duo,11 Rue Du Temple 4th arr 75004 Paris France,France,Paris
34604,H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France,France,Paris
34660,The Rembrandt,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,United Kingdom,London
35372,Hotel Eden,110 rue Blomet 15th arr 75015 Paris France,France,Paris
35442,H tel de la Bourdonnais,111 avenue de la Bourdonnais 7th arr 75007 Paris France,France,Paris
35804,Ashburn Hotel,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,United Kingdom,London
36043,Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,United Kingdom,London
36127,Best Western Premier Marais Grands Boulevards,112 boulevard de S bastopol 3rd arr 75003 Paris France,France,Paris
36359,Novotel London Waterloo,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,United Kingdom,London
36646,The Athenaeum,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,United Kingdom,London
36835,Park International Hotel,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,United Kingdom,London
37337,Lansbury Heritage Hotel,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,United Kingdom,London
37377,Le Dokhan s a Tribute Portfolio Hotel,117 Rue Lauriston 16th arr 75116 Paris France,France,Paris
37445,Le Relais Madeleine,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,France,Paris
37532,Terrass H tel Montmartre by MH,12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,France,Paris
37733,Millennium Hotel Paris Opera,12 Boulevard Haussmann 9th arr 75009 Paris France,France,Paris
37858,Waldorf Madeleine,12 boulevard Malesherbes 8th arr 75008 Paris France,France,Paris
38139,Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,United Kingdom,London
38484,Best Western Mornington Hotel Hyde Park,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,United Kingdom,London
39308,Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,United Kingdom,London
40089,Hotel La Lanterne,12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France,France,Paris
40185,H tel Square Louvois,12 Rue de Louvois 2nd arr 75002 Paris France,France,Paris
40257,Hotel Marignan Champs Elys es,12 rue de Marignan 8th arr 75008 Paris France,France,Paris
40419,Le Grey Hotel,12 rue de Parme 9th arr 75009 Paris France,France,Paris
40495,Le Pavillon des Lettres,12 rue des Saussaies 8th arr 75008 Paris France,France,Paris
40535,H tel San R gis,12 Rue Jean Goujon 8th arr 75008 Paris France,France,Paris
40609,Garden Elys e,12 rue Saint Didier 16th arr 75016 Paris France,France,Paris
40684,Hotel Louvre Montana,12 rue Saint Roch 1st arr 75001 Paris France,France,Paris
40750,Ambassadors Bloomsbury,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,United Kingdom,London
41518,Le 123 S bastopol Astotel,123 boulevard S bastopol 2nd arr 75002 Paris France,France,Paris
41648,Le 123 Elysees Astotel,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,France,Paris
41701,The Bryson Hotel,124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,United Kingdom,London
41831,Best Western Mercedes Arc de Triomphe,128 avenue de Wagram 17th arr 75017 Paris France,France,Paris
41889,London Marriott Hotel Regents Park,128 King Henry s Road Camden London NW3 3ST United Kingdom,United Kingdom,London
42641,Hilton London Hyde Park,129 Bayswater Road London W2 4RJ United Kingdom,United Kingdom,London
42900,Staunton Hotel B B,13 15 Gower Street Camden London WC1E 6HE United Kingdom,United Kingdom,London
43148,1K Hotel,13 Boulevard Du Temple 3rd arr 75003 Paris France,France,Paris
43296,H tel Westminster,13 Rue De La Paix 2nd arr 75002 Paris France,France,Paris
43609,L H tel,13 rue des Beaux Arts 6th arr 75006 Paris France,France,Paris
43688,Mercure Paris Porte d Orleans,13 Rue Fran ois Ory 92120 Paris France,France,Paris
43698,Maxim Op ra,13 rue Geoffroy Marie 9th arr 75009 Paris France,France,Paris
43733,Le Marceau Bastille,13 Rue Jules Cesar 12th arr 75012 Paris France,France,Paris
43883,Hotel Odeon Saint Germain,13 rue Saint Sulpice 6th arr 75006 Paris France,France,Paris
44050,Mercure London Bloomsbury Hotel,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,United Kingdom,London
44652,The Chamberlain,130 135 Minories City of London London EC3N 1NU United Kingdom,United Kingdom,London
45621,Radisson Blu Edwardian Grafton,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,United Kingdom,London
46975,La Villa Haussmann,132 Boulevard Haussmann 8th arr 75008 Paris France,France,Paris
47016,London Marriott Hotel Marble Arch,134 George Street Westminster Borough London W1H 5DN United Kingdom,United Kingdom,London
47496,Saint Georges Hotel,14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,United Kingdom,London
48224,Park Grand London Lancaster Gate,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,United Kingdom,London
48780,The Henrietta Hotel,14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,United Kingdom,London
48807,Sofitel Paris Arc De Triomphe,14 Rue Beaujon 8th arr 75008 Paris France,France,Paris
49001,Hotel Mercure La Sorbonne Saint Germain des Pr s,14 Rue de la Sorbonne 5th arr 75005 Paris France,France,Paris
49081,La Tremoille Paris,14 rue de la Tremoille 8th arr 75008 Paris France,France,Paris
49157,Hotel Op ra Richepanse,14 Rue du Chevalier de Saint George 1st arr 75001 Paris France,France,Paris
49399,H tel Duc De St Simon,14 Rue St Simon 7th arr 75007 Paris France,France,Paris
49514,Hotel Le Six,14 Rue Stanislas 6th arr 75006 Paris France,France,Paris
49577,The Bailey s Hotel London,140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,United Kingdom,London
50595,London Marriott Hotel Park Lane,140 Park Lane Westminster Borough London W1K 7AA United Kingdom,United Kingdom,London
50673,Best Western Premier Louvre Saint Honor ,141 rue St Honor 1st arr 75001 Paris France,France,Paris
50878,Hotel Indigo London Tower Hill,142 Minories City of London London EC3N 1LS United Kingdom,United Kingdom,London
51224,Windermere Hotel,142 To 144 Warwick Way Victoria Westminster Borough London SW1V 4JE United Kingdom,United Kingdom,London
51319,La Villa Maillot,143 Avenue De Malakoff 16th arr 75016 Paris France,France,Paris
51396,H tel Madison by MH,143 Boulevard Saint Germain 6th arr 75006 Paris France,France,Paris
51497,Mercure London Paddington Hotel,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,United Kingdom,London
52131,Hilton London Paddington,146 Praed Street Westminster Borough London W2 1EE United Kingdom,United Kingdom,London
53298,London Marriott Hotel Kensington,147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,United Kingdom,London
53487,Kensington House Hotel,15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,United Kingdom,London
53756,Charlotte Street Hotel,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,United Kingdom,London
53897,The Goring,15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,United Kingdom,London
53999,Novotel Paris 14 Porte d Orl ans,15 Boulevard Romain Rolland 14th arr 75014 Paris France,France,Paris
54026,The Pelham Starhotels Collezione,15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,United Kingdom,London
54303,The Montague On The Gardens,15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,United Kingdom,London
54717,Ritz Paris,15 Place Vend me 1st arr 75001 Paris France,France,Paris
54745,Hotel Les Rives de Notre Dame,15 Quai Saint Michel 5th arr 75005 Paris France,France,Paris
54817,Sofitel Paris Le Faubourg,15 Rue Boissy d Anglas 8th arr 75008 Paris France,France,Paris
54954,Bassano,15 Rue de Bassano 16th arr 75016 Paris France,France,Paris
55054,Best Western Premier Le Swann,15 rue de Constantinople 8th arr 75008 Paris France,France,Paris
55145,H tel des Academies et des Arts,15 Rue De La Grande Chaumi re 6th arr 75006 Paris France,France,Paris
55195,Hotel Lumen Paris Louvre,15 Rue Des Pyramides 1st arr 75001 Paris France,France,Paris
55265,Le Marquis Eiffel,15 Rue Dupleix 15th arr 75015 Paris France,France,Paris
55386,COQ Hotel Paris,15 rue Edouard Manet 13th arr 75013 Paris France,France,Paris
55644,Mill sime H tel,15 Rue Jacob 6th arr 75006 Paris France,France,Paris
55811,The Leonard Hotel,15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,United Kingdom,London
56246,DoubleTree by Hilton London Hyde Park,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,United Kingdom,London
57191,The Ritz London,150 Piccadilly Westminster Borough London W1J 9BR United Kingdom,United Kingdom,London
57597,M by Montcalm Shoreditch London Tech City,151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,United Kingdom,London
59752,Legend Saint Germain by Elegancia,151 bis Rue de Rennes 6th arr 75006 Paris France,France,Paris
59830,Clayton Crown Hotel London,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,United Kingdom,London
60909,Au Manoir Saint Germain,153 Boulevard Saint Germain 6th arr 75006 Paris France,France,Paris
61075,St Paul s Hotel,153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,United Kingdom,London
61456,Best Western S vres Montparnasse,153 Rue De Vaugirard 15th arr 75015 Paris France,France,Paris
61644,The Bloomsbury Hotel,16 22 Great Russell Street Camden London WC1B 3NN United Kingdom,United Kingdom,London
62183,Nolinski Paris,16 Avenue de l Opera 1st arr 75001 Paris France,France,Paris
62296,Le Tourville Eiffel,16 avenue de Tourville 7th arr 75007 Paris France,France,Paris
62436,Paris Marriott Opera Ambassador Hotel,16 boulevard Haussmann 9th arr 75009 Paris France,France,Paris
62502,Hotel Indigo London Paddington,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,United Kingdom,London
62770,Idol Hotel,16 rue d Edimbourg 8th arr 75008 Paris France,France,Paris
62874,H tel California Champs Elys es,16 rue de Berri 8th arr 75008 Paris France,France,Paris
63149,Hotel de Seze,16 rue de S ze 9th arr 75009 Paris France,France,Paris
63229,Number Sixteen,16 Sumner Place Kensington and Chelsea London SW7 3EG United Kingdom,United Kingdom,London
63316,Hotel Xenia Autograph Collection,160 Cromwell Road Kensington Kensington and Chelsea London SW5 0TL United Kingdom,United Kingdom,London
63612,H tel Hor,160 Rue La Fayette 10th arr 75010 Paris France,France,Paris
63942,Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,United Kingdom,London
68731,Best Western Op ra Batignolles,165 rue de Rome 17th arr 75017 Paris France,France,Paris
68832,H tel de Banville,166 Boulevard Berthier 17th arr 75017 Paris France,France,Paris
68936,Villa Eugenie,167 rue de Rome 17th arr 75017 Paris France,France,Paris
68998,Hilton London Euston,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,United Kingdom,London
69468,Egerton House,17 19 Egerton Terrace Knightsbridge Kensington and Chelsea London SW3 2BX United Kingdom,United Kingdom,London
69544,Millennium Hotel London Knightsbridge,17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,United Kingdom,London
70551,H tel Raphael,17 Avenue Kl ber 16th arr 75016 Paris France,France,Paris
70629,Le 7 Eiffel Hotel,17 bis rue Am lie 7th arr 75007 Paris France,France,Paris
70705,Paris Marriott Rive Gauche Hotel,17 Boulevard Saint Jacques 14th arr 75014 Paris France,France,Paris
70751,Hotel La Place,17 Nottingham Place Westminster Borough London W1U 5LG United Kingdom,United Kingdom,London
70876,Hotel Le Pera,17 Rue de Caumartin 9th arr 75009 Paris France,France,Paris
70898,H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France,France,Paris
71274,Drawing Hotel,17 rue de Richelieu 1st arr 75001 Paris France,France,Paris
71288,Novotel Paris Centre Gare Montparnasse,17 Rue Du Cotentin 15th arr 75015 Paris France,France,Paris
71535,D clic Hotel,17 rue Duhesme 18th arr 75018 Paris France,France,Paris
71594,Villa d Estr es,17 rue g t le coeur 6th arr 75006 Paris France,France,Paris
71623,Bulgari Hotel London,171 Knightsbridge Westminster Borough London SW7 1DW United Kingdom,United Kingdom,London
71660,Novotel London Greenwich,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,United Kingdom,London
72164,Park Avenue Baker Street,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,United Kingdom,London
73015,Hotel Plaza Elys es,177 Boulevard Haussmann 8th arr 75008 Paris France,France,Paris
73120,Hotel Champs Elys es Friedland by Happyculture,177 rue du faubourg Saint Honor 8th arr 75008 Paris France,France,Paris
73225,Malmaison London,18 21 Charterhouse Square Islington London EC1M 6AH United Kingdom,United Kingdom,London
73988,The Park City Grand Plaza Kensington Hotel,18 30 Lexham Gardens Kensington and Chelsea London W8 5JE United Kingdom,United Kingdom,London
74223,Park Plaza London Riverbank,18 Albert Embankment Lambeth London SE1 7TJ United Kingdom,United Kingdom,London
76390,Pullman Paris Tour Eiffel,18 Avenue De Suffren Entr e au 22 rue Jean Rey 15th arr 75015 Paris France,France,Paris
77236,Danubius Hotel Regents Park,18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom,United Kingdom,London
77829,Hotel Bachaumont,18 rue Bachaumont 2nd arr 75002 Paris France,France,Paris
77985,Franklin Roosevelt,18 rue Clement Marrot 8th arr 75008 Paris France,France,Paris
78073,H tel Horset Op ra Best Western Premier Collection,18 Rue d Antin 2nd arr 75002 Paris France,France,Paris
78272,Best Western Paris Gare Saint Lazare,18 rue de Constantinople 8th arr 75008 Paris France,France,Paris
78350,Splendide Royal Paris,18 Rue du Cirque 8th arr 75008 Paris France,France,Paris
78366,The Rockwell,181 Cromwell Road Kensington and Chelsea London SW5 0SF United Kingdom,United Kingdom,London
78918,The LaLit London,181 Tooley Street Southwark London SE1 2JR United Kingdom,United Kingdom,London
78980,Mercure Paris Alesia,185 Boulevard Brune 14th arr 75014 Paris France,France,Paris
79054,Courthouse Hotel London,19 21 Gt Marlborough St Westminster Borough London W1F 7HL United Kingdom,United Kingdom,London
79921,Best Western The Boltons Hotel London Kensington,19 21 Penywern Road Kensington and Chelsea London SW5 9TT United Kingdom,United Kingdom,London
80470,Radisson Blu Edwardian Sussex,19 25 Granville Place Marble Arch Westminster Borough London W1H 6PA United Kingdom,United Kingdom,London
81043,Hotel The Peninsula Paris,19 avenue Kleber 16th arr 75116 Paris France,France,Paris
81101,Le Narcisse Blanc Spa,19 Boulevard De La Tour Maubourg 7th arr 75007 Paris France,France,Paris
81158,The Pillar Hotel,19 Brent Street Brent Cross London NW4 2EU United Kingdom,United Kingdom,London
81259,Crowne Plaza London The City,19 New Bridge Street City of London London EC4V 6DB United Kingdom,United Kingdom,London
81473,H tel Les Dames du Panth on,19 place du Panth on 5th arr 75005 Paris France,France,Paris
81543,H tel Victor Hugo Paris Kl ber,19 Rue Copernic 16th arr 75016 Paris France,France,Paris
81591,Grand Hotel Saint Michel,19 Rue Cujas 5th arr 75005 Paris France,France,Paris
81746,Hotel Maison Ath n e,19 Rue De Caumartin 9th arr 75009 Paris France,France,Paris
81837,Relais Du Louvre,19 Rue Des Pretres Saint Germain L Auxerrois 1st arr 75001 Paris France,France,Paris
81925,Pullman Paris Montparnasse,19 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,France,Paris
82191,Best Western Ducs de Bourgogne,19 Rue Du Pont Neuf 1st arr 75001 Paris France,France,Paris
82333,Best Western Premier Op ra Opal,19 Rue Tronchet 8th arr 75008 Paris France,France,Paris
82474,Amarante Champs Elys es,19 Rue Vernet 8th arr 75008 Paris France,France,Paris
82576,The Gore Hotel Starhotels Collezione,190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom,United Kingdom,London
83097,The Hoxton Holborn,199 206 High Holborn Camden London WC1V 7BD United Kingdom,United Kingdom,London
83852,Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,United Kingdom,London
84294,Royal Garden Hotel,2 24 Kensington High St Kensington and Chelsea London W8 4PT United Kingdom,United Kingdom,London
85168,Boundary Rooms Suites,2 4 Boundary Street Hackney London E2 7DD United Kingdom,United Kingdom,London
85180,H tel Ad le Jules,2 4bis Cit Rougemont 9th arr 75009 Paris France,France,Paris
85269,Grange White Hall Hotel,2 5 Montague Street Bloomsbury Camden London WC1B 5BU United Kingdom,United Kingdom,London
85479,Hilton London Bankside,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,United Kingdom,London
86372,DoubleTree by Hilton London Ealing,2 8 Hanger Lane Ealing Common London W5 3HN United Kingdom,United Kingdom,London
87052,Molitor Paris MGallery by Sofitel,2 avenue la Porte Molitor 16th arr 75016 Paris France,France,Paris
87125,First Hotel Paris Tour Eiffel,2 Bd Garibaldi 15th arr 75015 Paris France,France,Paris
87197,DoubleTree by Hilton London Victoria,2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom,United Kingdom,London
88260,St Ermin s Hotel Autograph Collection,2 Caxton Street Westminster Borough London SW1H 0QW United Kingdom,United Kingdom,London
88644,Montagu Place Hotel,2 Montagu Place Westminster Borough London W1H 2ER United Kingdom,United Kingdom,London
88755,H tel Regina,2 place des Pyramides 1st arr 75001 Paris France,France,Paris
89127,Mercure Paris Gare De Lyon TGV,2 place Louis Armand 12th arr 75012 Paris France,France,Paris
89538,Villa Montparnasse,2 Rue Boulard 14th arr 75014 Paris France,France,Paris
89590,H tel des Champs Elys es,2 Rue d Artois 8th arr 75008 Paris France,France,Paris
89773,Lyric H tel Paris,2 rue de Gramont 2nd arr 75002 Paris France,France,Paris
89870,Hotel Design Secret de Paris,2 Rue De Parme 9th arr 75009 Paris France,France,Paris
89963,Hotel Dupond Smith,2 rue des Guillemites 4th arr 75004 Paris France,France,Paris
89986,Okko Hotels Paris Porte De Versailles,2 Rue du Colonel Pierre Avia 15th arr 75015 Paris France,France,Paris
90029,La Villa Royale,2 Rue Duperr 9th arr 75009 Paris France,France,Paris
90105,Hotel Indigo Paris Opera,2 Rue Edouard VII 9th arr 75009 Paris France,France,Paris
90220,Villa Opera Drouot,2 rue Geoffroy Marie 9th arr 75009 Paris France,France,Paris
90316,Novotel Paris Gare De Lyon,2 Rue Hector Malot 12th arr 75012 Paris France,France,Paris
90882,H tel Belloy Saint Germain By Happyculture,2 Rue Racine 6th arr 75006 Paris France,France,Paris
90964,Hotel Louis 2,2 Rue Saint Sulpice 6th arr 75006 Paris France,France,Paris
91019,InterContinental Paris Le Grand,2 Rue Scribe 9th arr 75009 Paris France,France,Paris
91169,The Trafalgar Hilton,2 Spring Gardens Trafalgar Square Westminster Borough London SW1A 2TS United Kingdom,United Kingdom,London
91532,Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom,United Kingdom,London
92589,Old Ship Inn Hackney,2 Sylvester Path Hackney London E8 1EN United Kingdom,United Kingdom,London
